"カテゴリ","観点","タスク","タスクNo","後続タスクNo","担当者","進行状況","優先度","Start","End","check"
"マイルストーン","キックオフ",,"1",,"","進行中","高","2025/10/20","2025/10/20",
"マイルストーン","チェックポイント1",,"6",,"","進行中","高","2025/12/30","2025/12/30",
"PMO","定例管理",,"2","3;4","山田","完了済み","高","2025/10/08","2025/10/18",
"構築","基盤環境","契約事務","3",,"佐藤","遅延","高","2025/10/05","2025/10/20",
"構築","基盤環境","構築前準備","5",,"佐藤","進行中","中","2025/09/30","2025/10/8",
"構築","アプリケーション","API設計","7","8","田中","開始前","中","2025/10/05","2025/10/15",
"構築","アプリケーション","実装","8","9","田中","開始前","高","2025/10/16","2025/11/05",
"テスト","単体テスト",,"9","10","高橋","開始前","中","2025/10/06","2025/10/20",
"テスト","結合テスト",,"10",,"高橋","開始前","中","2025/10/21","2025/11/05",
"テスト","総合テスト",,"11",,"大野","開始前","中","2025/11/09","2025/12/29",
"テスト","最終テスト",,"12",,"大野","開始前","中","2026/01/10","2026/01/31",
"リリース","本番リリース","最終マージ","13",,"大野","開始前","中","2026/02/02","2026/02/10",
"リリース","本番リリース","最終ビルド","14",,"大野","開始前","中","2026/02/02","2026/02/10",
"リリース","本番リリース","最終デプロイ","15",,"大野","開始前","中","2026/02/12","2026/02/15",
"マイルストーン","稼働判定",,"16",,,"開始前","中","2026/01/10","2026/01/10",
"マイルストーン","本番リリース",,"17",,,"開始前","中","2026/02/12","2026/02/12",
